Date,Temp,Humidity,Rain,Wind
2020-01-01,16.0,44,1.4,2.8
2020-01-02,15.0,72,1.8,3.7
2020-01-03,16.9,88,0.1,3.3
2020-01-04,18.9,53,0.9,0.1
2020-01-05,15.7,51,2.6,2.4
2020-01-06,16.0,81,3.4,3.7
2020-01-07,19.9,59,0.8,3.3
2020-01-08,18.5,89,3.2,5.8
2020-01-09,16.3,63,6.9,3.1
2020-01-10,18.6,82,3.9,3.9
2020-01-11,16.9,73,0.3,3.4
2020-01-12,17.2,64,2.7,5.9
2020-01-13,18.9,89,0.8,6.9
2020-01-14,14.8,68,8.9,4.3
2020-01-15,15.5,78,1.3,6.3
2020-01-16,18.0,70,0.3,2.4
2020-01-17,17.4,86,2.6,4.3
2020-01-18,20.3,82,0.8,2.8
2020-01-19,18.1,89,11.7,3.3
2020-01-20,17.4,62,7.8,5.9
2020-01-21,23.4,83,2.1,7.1
2020-01-22,20.2,77,0.3,1.0
2020-01-23,21.0,59,2.3,5.1
2020-01-24,18.3,62,0.2,4.7
2020-01-25,20.3,84,0.1,0.9
2020-01-26,21.8,55,3.5,1.7
2020-01-27,19.5,89,0.5,2.5
2020-01-28,22.7,81,1.0,1.3
2020-01-29,21.0,47,7.3,1.9
2020-01-30,21.8,89,0.8,2.1
2020-01-31,21.4,60,0.7,2.7
2020-02-01,26.5,40,5.0,6.0
2020-02-02,22.9,47,0.2,4.6
2020-02-03,21.0,68,2.9,7.9
2020-02-04,24.9,71,8.9,3.3
2020-02-05,21.0,77,4.6,6.0
2020-02-06,24.0,44,2.1,7.0
2020-02-07,19.8,86,0.8,5.4
2020-02-08,21.2,61,0.6,3.3
2020-02-09,24.4,86,3.4,6.0
2020-02-10,25.6,73,4.2,1.6
2020-02-11,24.6,40,1.5,2.6
2020-02-12,24.1,65,0.6,4.4
2020-02-13,23.8,82,0.2,4.6
2020-02-14,21.6,49,0.2,0.2
2020-02-15,23.2,69,2.5,7.6
2020-02-16,23.8,89,1.1,5.6
2020-02-17,26.9,57,4.7,4.0
2020-02-18,25.5,56,2.7,7.5
2020-02-19,21.3,65,0.4,3.5
2020-02-20,25.6,47,1.9,7.8
2020-02-21,24.2,86,1.1,4.1
2020-02-22,23.6,79,1.7,0.9
2020-02-23,26.2,88,2.7,6.1
2020-02-24,27.1,51,3.3,5.4
2020-02-25,26.9,66,3.7,6.2
2020-02-26,23.3,47,0.6,7.6
2020-02-27,24.4,64,0.1,6.2
2020-02-28,25.6,85,2.7,4.9
2020-02-29,26.9,43,0.2,6.9
2020-03-01,23.9,72,0.8,5.4
2020-03-02,24.5,40,0.0,3.3
2020-03-03,22.6,58,2.3,7.1
2020-03-04,22.3,70,0.4,1.8
2020-03-05,26.3,55,2.1,5.7
2020-03-06,27.3,53,9.6,7.1
2020-03-07,24.3,87,0.2,5.9
2020-03-08,26.4,44,0.2,5.6
2020-03-09,25.0,80,0.8,6.0
2020-03-10,22.9,65,4.0,3.7
2020-03-11,24.8,67,0.5,7.0
2020-03-12,27.0,41,0.9,1.6
2020-03-13,23.7,89,0.1,1.0
2020-03-14,26.8,45,2.9,2.3
2020-03-15,18.3,48,1.0,4.3
2020-03-16,25.0,72,2.8,4.1
2020-03-17,23.4,80,4.7,6.6
2020-03-18,22.4,64,0.5,3.2
2020-03-19,23.0,87,3.3,3.9
2020-03-20,18.7,52,0.1,0.1
2020-03-21,22.0,48,4.6,3.3
2020-03-22,23.0,52,2.1,5.2
2020-03-23,25.1,70,4.1,0.1
2020-03-24,20.9,80,0.0,2.2
2020-03-25,20.1,50,0.4,1.7
2020-03-26,20.5,43,1.0,0.3
2020-03-27,23.1,73,1.0,3.8
2020-03-28,21.7,77,0.5,1.5
2020-03-29,19.7,85,1.0,5.9
2020-03-30,21.6,43,0.3,6.8
2020-03-31,20.5,77,1.1,4.4
2020-04-01,22.0,58,3.2,7.9
2020-04-02,18.4,45,1.3,3.6
2020-04-03,18.9,73,0.0,4.1
2020-04-04,18.5,57,1.1,7.9
2020-04-05,16.1,52,0.1,1.9
2020-04-06,19.4,80,6.8,7.5
2020-04-07,19.0,62,0.3,0.3
2020-04-08,18.3,58,2.5,3.6
2020-04-09,17.5,84,7.2,0.6
2020-04-10,14.9,50,3.5,5.8
2020-04-11,16.6,40,2.4,4.9
2020-04-12,16.4,63,3.7,5.7
2020-04-13,15.2,46,8.0,3.0
2020-04-14,16.2,64,1.9,3.0
2020-04-15,17.1,60,1.6,0.4
