time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2025-08-13 23:10,1,0,0,0,0,0,1.04,12.31,2.34,41.49,0.161,0
2025-08-13 23:20,0,0,0,0,0,0,1.03,11.88,2.33,40.68,0,0
2025-08-13 23:30,0,0,0,0,0,0,1.01,11.06,2.32,39.87,0,0
2025-08-13 23:40,0,0,0,0,0,0,1,10.66,2.31,39.07,0,0
2025-08-13 23:50,0,0,0,0,0,0,0.99,10.26,2.31,39.07,0,0
2025-08-14 0:00,0,0,0,0,0,0,0.98,9.87,2.3,38.28,0,0
2025-08-14 0:10,0,0,0,0,0,0,0.98,9.87,2.29,37.5,0,0
2025-08-14 0:20,0,0,0,0,0,0,0.97,9.48,2.28,36.72,0,0
2025-08-14 0:30,0,0,0,0,0,0,0.96,9.11,2.27,35.94,0,0
2025-08-14 0:40,0,0,0,0,0,0,0.96,9.11,2.26,35.17,0,0
2025-08-14 0:50,0,0,0,0,0,0,0.95,8.73,2.25,34.41,0,0
2025-08-14 1:00,0,0,0,0,0,0,0.95,8.73,2.24,33.66,0,0
2025-08-14 1:10,0,0,0,1,0,0,0.94,8.37,2.23,32.91,0.074,0.488
2025-08-14 1:20,0,0,0,1,0,0,0.94,8.37,2.22,32.17,0.074,0.488
2025-08-14 1:30,0,0,1,0,0,0,0.94,8.37,2.22,32.17,0.016,0
2025-08-14 1:40,0,1,1,1,0,0,0.93,8.01,2.21,31.44,0.463,0.488
2025-08-14 1:50,0,0,0,0,0,1,0.93,8.01,2.2,30.71,0.251,0.061
2025-08-14 2:00,0,1,1,1,1,2,0.92,7.66,2.19,29.99,1.09,1.061
2025-08-14 2:10,4,1,2,1,1,1,0.92,7.66,2.19,29.99,1.499,1
2025-08-14 2:20,2,1,2,1,0,1,0.92,7.66,2.18,29.28,1.052,0.549
2025-08-14 2:30,1,1,1,0,0,1,0.92,7.66,2.17,28.57,0.801,0.061
2025-08-14 2:40,1,1,1,0,1,1,0.92,7.66,2.17,28.57,0.926,0.512
2025-08-14 2:50,0,0,0,1,0,0,0.92,7.66,2.17,28.57,0.074,0.488
2025-08-14 3:00,1,0,1,0,0,0,0.92,7.66,2.16,27.87,0.177,0
2025-08-14 3:10,0,0,0,0,0,0,0.92,7.66,2.16,27.87,0,0
2025-08-14 3:20,0,0,0,0,0,0,0.92,7.66,2.16,27.87,0,0
2025-08-14 3:30,0,1,0,0,0,0,0.92,7.66,2.16,27.87,0.373,0
2025-08-14 3:40,0,0,0,0,0,1,0.92,7.66,2.15,27.18,0.251,0.061
2025-08-14 3:50,0,0,0,0,1,0,0.91,7.31,2.15,27.18,0.125,0.451
2025-08-14 4:00,0,0,1,1,0,1,0.91,7.31,2.15,27.18,0.341,0.549
2025-08-14 4:10,1,1,0,0,0,0,0.91,7.31,2.15,27.18,0.534,0
2025-08-14 4:20,0,0,0,1,0,0,0.91,7.31,2.15,27.18,0.074,0.488
2025-08-14 4:30,1,0,1,1,1,0,0.92,7.66,2.15,27.18,0.376,0.939
2025-08-14 4:40,0,0,0,1,0,1,0.93,8.01,2.15,27.18,0.325,0.549
2025-08-14 4:50,0,1,0,0,0,0,0.94,8.37,2.15,27.18,0.373,0
2025-08-14 5:00,0,0,0,3,0,8,0.95,8.73,2.15,27.18,2.23,1.952
2025-08-14 5:10,3,2,2,1,0,2,0.96,9.11,2.14,26.49,1.837,0.61
2025-08-14 5:20,6,10,4,1,5,6,0.97,9.48,2.14,26.49,6.965,3.109
2025-08-14 5:30,0,2,1,3,3,0,1,10.66,2.14,26.49,1.359,2.817
2025-08-14 5:40,0,0,1,0,11,0,1.11,15.43,2.15,27.18,1.391,4.961
2025-08-14 5:50,0,0,0,0,3,0,1.2,19.88,2.16,27.87,0.375,1.353
2025-08-14 6:00,0,0,0,0,2,0,1.22,20.94,2.18,29.28,0.25,0.902
2025-08-14 6:10,0,0,0,2,1,4,1.24,22.01,2.86,104.86,1.277,1.671
2025-08-14 6:20,0,4,2,0,1,0,1.34,27.61,2.93,114.92,1.649,0.451
2025-08-14 6:30,0,2,2,1,0,1,1.4,31.11,2.91,112.01,1.103,0.549
2025-08-14 6:40,1,0,0,0,1,0,1.4,31.11,2.86,104.86,0.286,0.451
2025-08-14 6:50,0,0,0,2,2,1,1.42,32.34,2.84,102.04,0.649,1.939
2025-08-14 7:00,0,0,1,1,2,1,1.47,35.54,2.86,104.86,0.591,1.451
2025-08-14 7:10,0,1,0,1,5,2,1.51,38.23,2.88,107.7,1.574,2.865
2025-08-14 7:20,2,3,1,0,0,1,1.51,38.23,2.89,109.13,1.708,0.061
2025-08-14 7:30,1,1,3,0,0,0,1.5,37.55,2.87,106.28,0.582,0
2025-08-14 7:40,1,0,0,1,0,1,1.48,36.2,2.85,103.45,0.486,0.549
2025-08-14 7:50,5,3,1,0,1,1,1.51,38.23,2.84,102.04,2.316,0.512
2025-08-14 8:00,7,6,8,3,1,12,1.57,42.51,2.85,103.45,6.852,2.647
2025-08-14 8:10,12,19,21,12,5,17,1.57,42.51,2.97,120.8,15.135,9.148
2025-08-14 8:20,0,6,6,4,10,2,1.66,49.46,3.25,164.18,4.382,6.584
2025-08-14 8:30,0,1,0,0,1,0,1.74,56.19,3.53,211.21,0.498,0.451
2025-08-14 8:40,0,0,0,0,1,0,1.76,57.96,3.84,268.62,0.125,0.451
2025-08-14 8:50,0,0,0,0,0,0,1.82,63.47,4.01,302.4,0,0
2025-08-14 9:00,0,0,0,0,0,0,1.93,74.4,4.06,312.64,0,0
2025-08-14 9:10,0,0,0,0,0,0,2.01,83.03,4.06,312.64,0,0
2025-08-14 9:20,0,0,0,0,0,0,2.01,83.03,4.02,304.44,0,0
2025-08-14 9:30,0,0,0,0,0,0,1.9,71.31,3.95,290.3,0,0
2025-08-14 9:40,0,0,0,0,0,0,1.79,60.68,3.85,270.56,0,0
2025-08-14 9:50,0,0,0,0,0,0,1.68,51.09,3.72,245.75,0,0
2025-08-14 10:00,0,0,0,0,0,0,1.6,44.75,3.59,221.89,0,0
2025-08-14 10:10,0,0,0,0,0,0,1.55,41.05,3.47,200.73,0,0
2025-08-14 10:20,0,0,0,0,0,0,1.53,39.63,3.37,183.76,0,0
2025-08-14 10:30,0,0,0,0,0,1,1.5,37.55,3.28,168.99,0.251,0.061
2025-08-14 10:40,0,1,0,1,1,0,1.46,34.88,3.2,156.28,0.572,0.939
2025-08-14 10:50,1,0,1,0,0,0,1.43,32.97,3.11,142.17,0.177,0
2025-08-14 11:00,0,0,1,0,0,0,1.4,31.11,3.04,131.34,0.016,0
